datetime,rssi
2025-10-04 20:02:01.720200,-87
2025-10-04 20:02:02.457909,-86
2025-10-04 20:02:02.509741,-92
2025-10-04 20:02:02.520809,-70
2025-10-04 20:02:02.572968,-76
2025-10-04 20:02:02.636126,-81
2025-10-04 20:02:02.647370,-95
2025-10-04 20:02:02.835464,-73
2025-10-04 20:02:02.897868,-91
2025-10-04 20:02:02.908588,-75
2025-10-04 20:02:03.034042,-96
2025-10-04 20:02:03.045291,-95
2025-10-04 20:02:03.226221,-77
2025-10-04 20:02:03.603615,-95
2025-10-04 20:02:03.845930,-94
2025-10-04 20:02:03.889632,-87
2025-10-04 20:02:03.901281,-87
2025-10-04 20:02:04.004879,-76
2025-10-04 20:02:04.015402,-77
2025-10-04 20:02:05.351989,-80
2025-10-04 20:02:05.362627,-79
2025-10-04 20:02:05.917195,-93
2025-10-04 20:02:05.927567,-91
2025-10-04 20:02:06.869796,-58
2025-10-04 20:02:07.209272,-91
2025-10-04 20:02:07.539070,-95
2025-10-04 20:02:07.716540,-91
2025-10-04 20:02:07.768476,-90
2025-10-04 20:02:07.779196,-89
2025-10-04 20:02:07.945074,-54
2025-10-04 20:02:07.956144,-54
2025-10-04 20:02:07.998987,-92
2025-10-04 20:02:09.029622,-82
2025-10-04 20:02:09.040190,-82
2025-10-04 20:02:09.234746,-88
2025-10-04 20:02:09.245306,-87
2025-10-04 20:02:09.604464,-90
2025-10-04 20:02:09.615048,-91
2025-10-04 20:02:09.625449,-94
2025-10-04 20:02:09.635935,-92
2025-10-04 20:02:09.808831,-91
2025-10-04 20:02:10.702993,-91
2025-10-04 20:02:11.245700,-93
2025-10-04 20:02:13.368757,-97
2025-10-04 20:02:13.501523,-82
2025-10-04 20:02:13.512240,-82
2025-10-04 20:02:13.522855,-82
2025-10-04 20:02:13.677630,-83
2025-10-04 20:02:13.688265,-81
2025-10-04 20:02:13.698923,-83
2025-10-04 20:02:13.709619,-82
2025-10-04 20:02:13.720446,-84
2025-10-04 20:02:14.113459,-97
2025-10-04 20:02:14.248554,-92
2025-10-04 20:02:14.259476,-93
2025-10-04 20:02:14.291320,-86
2025-10-04 20:02:14.302380,-88
2025-10-04 20:02:14.575497,-93
2025-10-04 20:02:14.586845,-95
2025-10-04 20:02:15.202879,-95
2025-10-04 20:02:15.214327,-96
2025-10-04 20:02:15.860966,-64
2025-10-04 20:02:15.872348,-93
2025-10-04 20:02:15.904168,-64
2025-10-04 20:02:15.977593,-77
2025-10-04 20:02:16.103332,-67
2025-10-04 20:02:16.145764,-72
2025-10-04 20:02:16.302380,-83
2025-10-04 20:02:16.333665,-76
2025-10-04 20:02:16.354807,-81
2025-10-04 20:02:16.365940,-78
2025-10-04 20:02:16.376954,-85
2025-10-04 20:02:16.387884,-75
2025-10-04 20:02:16.566784,-83
2025-10-04 20:02:16.578256,-85
2025-10-04 20:02:16.610276,-74
2025-10-04 20:02:16.642758,-73
2025-10-04 20:02:16.663916,-69
2025-10-04 20:02:16.685649,-74
2025-10-04 20:02:16.758497,-71
2025-10-04 20:02:18.678191,-84
2025-10-04 20:02:18.937998,-85
2025-10-04 20:02:19.352090,-47
2025-10-04 20:02:19.383311,-46
2025-10-04 20:02:19.715889,-86
2025-10-04 20:02:19.726501,-86
2025-10-04 20:02:19.737228,-85
2025-10-04 20:02:19.747959,-87
2025-10-04 20:02:19.758631,-87
2025-10-04 20:02:19.800020,-94
2025-10-04 20:02:19.810622,-92
2025-10-04 20:02:19.821168,-90
2025-10-04 20:02:19.831785,-88
2025-10-04 20:02:19.842454,-88
2025-10-04 20:02:20.429476,-48
2025-10-04 20:02:20.472129,-44
2025-10-04 20:02:20.514771,-92
2025-10-04 20:02:20.525639,-91
2025-10-04 20:02:21.001549,-85
2025-10-04 20:02:21.073291,-81
2025-10-04 20:02:21.083829,-81
2025-10-04 20:02:21.094477,-81
2025-10-04 20:02:21.176943,-83
2025-10-04 20:02:21.187668,-84
2025-10-04 20:02:22.801637,-97
2025-10-04 20:02:22.904496,-80
2025-10-04 20:02:22.915040,-79
2025-10-04 20:02:23.204487,-85
2025-10-04 20:02:23.215039,-85
2025-10-04 20:02:23.266715,-64
2025-10-04 20:02:24.208574,-93
2025-10-04 20:02:25.062567,-94
2025-10-04 20:02:26.528686,-40
2025-10-04 20:02:26.539592,-44
2025-10-04 20:02:27.535348,-65
2025-10-04 20:02:28.868411,-80
2025-10-04 20:02:28.878898,-82
2025-10-04 20:02:28.910206,-82
2025-10-04 20:02:28.920708,-81
2025-10-04 20:02:29.220705,-56
2025-10-04 20:02:29.677830,-95
2025-10-04 20:02:32.252534,-59
2025-10-04 20:02:32.273650,-58
2025-10-04 20:02:32.521844,-94
2025-10-04 20:02:32.532502,-93
2025-10-04 20:02:33.064250,-89
2025-10-04 20:02:33.074862,-88
2025-10-04 20:02:33.323409,-88
2025-10-04 20:02:33.334273,-88
2025-10-04 20:02:33.894486,-96
2025-10-04 20:02:34.821014,-92
2025-10-04 20:02:34.852841,-88
2025-10-04 20:02:34.863403,-93
2025-10-04 20:02:34.946226,-94
2025-10-04 20:02:38.181265,-60
2025-10-04 20:02:39.104846,-88
2025-10-04 20:02:39.270564,-91
2025-10-04 20:02:39.281317,-91
2025-10-04 20:02:39.687599,-89
2025-10-04 20:02:40.527872,-94
2025-10-04 20:02:40.868376,-86
2025-10-04 20:02:40.879147,-85
2025-10-04 20:02:41.139327,-87
2025-10-04 20:02:41.160187,-89
2025-10-04 20:02:41.181423,-89
2025-10-04 20:02:41.316626,-91
2025-10-04 20:02:41.368978,-85
2025-10-04 20:02:43.445316,-94
2025-10-04 20:02:43.617501,-92
2025-10-04 20:02:44.570872,-55
2025-10-04 20:02:45.296934,-91
2025-10-04 20:02:45.761687,-72
2025-10-04 20:02:45.772317,-72
2025-10-04 20:02:45.813936,-69
2025-10-04 20:02:46.032521,-65
2025-10-04 20:02:46.870516,-88
2025-10-04 20:02:46.912132,-92
