timestamp,rssi,location_label
2025-10-05 13:38:51.184631,-73,Front
2025-10-05 13:38:51.865631,-58,Middle
2025-10-05 13:38:51.874631,-57,Middle
2025-10-05 13:38:52.747631,-79,Front
2025-10-05 13:38:53.045631,-89,Noise
2025-10-05 13:38:53.178631,-80,Front
2025-10-05 13:38:53.179631,-79,Front
2025-10-05 13:38:53.260631,-80,Front
2025-10-05 13:38:54.564631,-88,Noise
2025-10-05 13:38:55.036631,-85,Noise
2025-10-05 13:38:55.866631,-58,Middle
2025-10-05 13:38:55.887631,-59,Middle
2025-10-05 13:38:55.907631,-59,Middle
2025-10-05 13:38:56.228631,-60,Middle
2025-10-05 13:38:56.248631,-60,Middle
2025-10-05 13:38:56.874631,-82,Front
2025-10-05 13:38:56.875631,-82,Front
2025-10-05 13:38:56.936631,-81,Front
2025-10-05 13:38:56.937631,-79,Front
2025-10-05 13:38:58.527631,-71,Front
2025-10-05 13:38:58.548631,-72,Front
2025-10-05 13:38:58.573631,-74,Front
2025-10-05 13:38:58.594631,-73,Front
2025-10-05 13:38:58.712631,-64,Middle
2025-10-05 13:38:58.718631,-65,Front
2025-10-05 13:38:58.740631,-63,Middle
2025-10-05 13:38:58.875631,-68,Front
2025-10-05 13:38:58.912631,-68,Front
2025-10-05 13:38:59.168631,-70,Front
2025-10-05 13:38:59.932631,-64,Middle
2025-10-05 13:38:59.933631,-70,Front
2025-10-05 13:38:59.936631,-70,Front
2025-10-05 13:38:59.941631,-61,Middle
2025-10-05 13:38:59.942631,-66,Front
2025-10-05 13:38:59.973631,-72,Front
2025-10-05 13:39:00.380631,-89,Noise
2025-10-05 13:39:00.385631,-89,Noise
2025-10-05 13:39:01.080631,-65,Front
2025-10-05 13:39:01.082631,-66,Front
2025-10-05 13:39:01.084631,-66,Front
2025-10-05 13:39:01.086631,-64,Middle
2025-10-05 13:39:01.088631,-66,Front
2025-10-05 13:39:01.243631,-73,Front
2025-10-05 13:39:01.265631,-72,Front
2025-10-05 13:39:01.266631,-72,Front
2025-10-05 13:39:01.268631,-73,Front
2025-10-05 13:39:01.271631,-73,Front
2025-10-05 13:39:01.273631,-72,Front
2025-10-05 13:39:01.335631,-74,Front
2025-10-05 13:39:01.565631,-76,Front
2025-10-05 13:39:01.607631,-82,Front
2025-10-05 13:39:01.645631,-80,Front
2025-10-05 13:39:01.683631,-80,Front
2025-10-05 13:39:02.508631,-73,Front
2025-10-05 13:39:02.519631,-76,Front
2025-10-05 13:39:03.641631,-66,Front
2025-10-05 13:39:04.315631,-86,Noise
2025-10-05 13:39:04.335631,-80,Front
2025-10-05 13:39:05.215631,-73,Front
2025-10-05 13:39:05.223631,-74,Front
2025-10-05 13:39:06.388631,-89,Noise
2025-10-05 13:39:06.868631,-74,Front
2025-10-05 13:39:07.607631,-81,Front
2025-10-05 13:39:07.657631,-78,Front
2025-10-05 13:39:10.587631,-82,Front
2025-10-05 13:39:10.589631,-82,Front
2025-10-05 13:39:10.650631,-81,Front
2025-10-05 13:39:12.757631,-72,Front
2025-10-05 13:39:12.767631,-72,Front
2025-10-05 13:39:12.777631,-72,Front
2025-10-05 13:39:13.257631,-77,Front
2025-10-05 13:39:13.988631,-89,Noise
2025-10-05 13:39:14.058631,-77,Front
2025-10-05 13:39:14.069631,-77,Front
2025-10-05 13:39:14.094631,-61,Middle
2025-10-05 13:39:14.106631,-61,Middle
2025-10-05 13:39:14.135631,-78,Front
2025-10-05 13:39:14.384631,-69,Front
2025-10-05 13:39:16.452631,-85,Noise
2025-10-05 13:39:16.474631,-80,Front
2025-10-05 13:39:16.491631,-74,Front
2025-10-05 13:39:16.492631,-75,Front
2025-10-05 13:39:16.508631,-71,Front
2025-10-05 13:39:16.512631,-73,Front
2025-10-05 13:39:16.530631,-58,Middle
2025-10-05 13:39:16.549631,-59,Middle
2025-10-05 13:39:16.568631,-59,Middle
2025-10-05 13:39:16.589631,-59,Middle
2025-10-05 13:39:16.642631,-58,Middle
2025-10-05 13:39:16.662631,-59,Middle
2025-10-05 13:39:16.874631,-57,Middle
2025-10-05 13:39:16.978631,-56,Middle
2025-10-05 13:39:16.998631,-56,Middle
2025-10-05 13:39:17.043631,-58,Middle
2025-10-05 13:39:17.083631,-58,Middle
2025-10-05 13:39:17.158631,-79,Front
2025-10-05 13:39:17.196631,-79,Front
2025-10-05 13:39:17.232631,-80,Front
2025-10-05 13:39:17.294631,-57,Middle
2025-10-05 13:39:17.315631,-56,Middle
2025-10-05 13:39:17.338631,-57,Middle
2025-10-05 13:39:17.381631,-57,Middle
2025-10-05 13:39:17.465631,-62,Middle
2025-10-05 13:39:17.485631,-63,Middle
2025-10-05 13:39:18.765631,-59,Middle
2025-10-05 13:39:19.230631,-60,Middle
2025-10-05 13:39:19.589631,-63,Middle
2025-10-05 13:39:19.984631,-77,Front
2025-10-05 13:39:20.046631,-72,Front
2025-10-05 13:39:23.897631,-79,Front
2025-10-05 13:39:24.346631,-78,Front
2025-10-05 13:39:24.771631,-66,Front
2025-10-05 13:39:24.831631,-65,Front
2025-10-05 13:39:24.869631,-69,Front
2025-10-05 13:39:26.362631,-79,Front
2025-10-05 13:39:26.871631,-82,Front
2025-10-05 13:39:26.872631,-82,Front
2025-10-05 13:39:27.988631,-68,Front
2025-10-05 13:39:28.291631,-64,Middle
2025-10-05 13:39:28.312631,-64,Middle
2025-10-05 13:39:28.424631,-62,Middle
2025-10-05 13:39:28.470631,-58,Middle
2025-10-05 13:39:28.491631,-58,Middle
2025-10-05 13:39:28.784631,-75,Front
2025-10-05 13:39:28.805631,-76,Front
2025-10-05 13:39:28.830631,-69,Front
2025-10-05 13:39:28.852631,-74,Front
2025-10-05 13:39:28.992631,-91,Noise
2025-10-05 13:39:29.027631,-88,Noise
2025-10-05 13:39:29.313631,-48,Back
2025-10-05 13:39:31.421631,-65,Front
2025-10-05 13:39:31.422631,-64,Middle
2025-10-05 13:39:31.442631,-64,Middle
2025-10-05 13:39:31.444631,-65,Front
2025-10-05 13:39:31.451631,-67,Front
2025-10-05 13:39:31.451631,-68,Front
2025-10-05 13:39:31.472631,-67,Front
2025-10-05 13:39:31.473631,-68,Front
2025-10-05 13:39:31.492631,-68,Front
2025-10-05 13:39:31.494631,-67,Front
2025-10-05 13:39:31.535631,-66,Front
2025-10-05 13:39:31.536631,-68,Front
2025-10-05 13:39:31.675631,-68,Front
2025-10-05 13:39:31.715631,-66,Front
2025-10-05 13:39:31.715631,-66,Front
2025-10-05 13:39:31.736631,-67,Front
2025-10-05 13:39:31.737631,-67,Front
2025-10-05 13:39:31.756631,-66,Front
2025-10-05 13:39:31.758631,-67,Front
2025-10-05 13:39:32.302631,-76,Front
2025-10-05 13:39:32.368631,-83,Front
2025-10-05 13:39:32.517631,-75,Front
2025-10-05 13:39:32.768631,-76,Front
2025-10-05 13:39:32.839631,-76,Front
2025-10-05 13:39:32.920631,-79,Front
2025-10-05 13:39:33.352631,-72,Front
2025-10-05 13:39:33.639631,-92,Noise
2025-10-05 13:39:36.062631,-75,Front
2025-10-05 13:39:39.430631,-84,Front
2025-10-05 13:39:39.730631,-76,Front
2025-10-05 13:39:39.742631,-74,Front
2025-10-05 13:39:40.602631,-81,Front
2025-10-05 13:39:40.604631,-78,Front
2025-10-05 13:39:40.667631,-83,Front
2025-10-05 13:39:40.704631,-73,Front
2025-10-05 13:39:40.727631,-72,Front
2025-10-05 13:39:40.970631,-42,Back
2025-10-05 13:39:40.990631,-43,Back
2025-10-05 13:39:41.059631,-49,Back
2025-10-05 13:39:41.261631,-45,Back
2025-10-05 13:39:41.341631,-45,Back
2025-10-05 13:39:41.354631,-45,Back
2025-10-05 13:39:42.767631,-68,Front
2025-10-05 13:39:42.779631,-65,Front
2025-10-05 13:39:43.274631,-68,Front
2025-10-05 13:39:43.296631,-70,Front
2025-10-05 13:39:43.307631,-68,Front
2025-10-05 13:39:43.336631,-72,Front
2025-10-05 13:39:43.573631,-79,Front
2025-10-05 13:39:43.593631,-79,Front
2025-10-05 13:39:43.621631,-79,Front
2025-10-05 13:39:44.490631,-75,Front
2025-10-05 13:39:44.505631,-74,Front
2025-10-05 13:39:44.517631,-71,Front
2025-10-05 13:39:44.658631,-77,Front
2025-10-05 13:39:44.709631,-75,Front
2025-10-05 13:39:44.732631,-71,Front
2025-10-05 13:39:44.753631,-72,Front
2025-10-05 13:39:44.940631,-78,Front
2025-10-05 13:39:44.954631,-77,Front
2025-10-05 13:39:44.970631,-74,Front
2025-10-05 13:39:44.984631,-72,Front
2025-10-05 13:39:44.985631,-73,Front
2025-10-05 13:39:45.076631,-79,Front
2025-10-05 13:39:45.644631,-88,Noise
2025-10-05 13:39:45.815631,-79,Front
2025-10-05 13:39:45.871631,-79,Front
2025-10-05 13:39:45.893631,-91,Noise
2025-10-05 13:39:45.894631,-92,Noise
2025-10-05 13:39:46.310631,-70,Front
2025-10-05 13:39:46.330631,-71,Front
2025-10-05 13:39:46.351631,-93,Noise
2025-10-05 13:39:46.352631,-91,Noise
2025-10-05 13:39:46.678631,-73,Front
2025-10-05 13:39:46.699631,-73,Front
2025-10-05 13:39:47.125631,-69,Front
2025-10-05 13:39:47.126631,-69,Front
2025-10-05 13:39:47.131631,-72,Front
2025-10-05 13:39:47.136631,-70,Front
2025-10-05 13:39:47.138631,-70,Front
2025-10-05 13:39:47.140631,-71,Front
2025-10-05 13:39:47.340631,-72,Front
2025-10-05 13:39:47.347631,-72,Front
2025-10-05 13:39:47.349631,-73,Front
2025-10-05 13:39:47.351631,-72,Front
2025-10-05 13:39:47.517631,-76,Front
2025-10-05 13:39:47.521631,-75,Front
2025-10-05 13:39:47.526631,-75,Front
2025-10-05 13:39:47.562631,-74,Front
2025-10-05 13:39:47.598631,-74,Front
2025-10-05 13:39:47.793631,-64,Middle
2025-10-05 13:39:47.812631,-64,Middle
2025-10-05 13:39:47.900631,-74,Front
2025-10-05 13:39:47.902631,-75,Front
2025-10-05 13:39:47.921631,-75,Front
2025-10-05 13:39:47.923631,-75,Front
2025-10-05 13:39:48.015631,-82,Front
2025-10-05 13:39:48.035631,-86,Noise
2025-10-05 13:39:48.036631,-85,Noise
2025-10-05 13:39:48.052631,-82,Front
2025-10-05 13:39:48.054631,-86,Noise
2025-10-05 13:39:48.124631,-83,Front
2025-10-05 13:39:48.125631,-84,Front
2025-10-05 13:39:48.266631,-86,Noise
2025-10-05 13:39:48.267631,-86,Noise
2025-10-05 13:39:48.286631,-85,Noise
2025-10-05 13:39:48.287631,-85,Noise
2025-10-05 13:39:48.365631,-83,Front
2025-10-05 13:39:48.448631,-79,Front
2025-10-05 13:39:50.050631,-71,Front
2025-10-05 13:39:50.063631,-69,Front
2025-10-05 13:39:50.288631,-77,Front
2025-10-05 13:39:50.310631,-76,Front
2025-10-05 13:39:50.319631,-74,Front
2025-10-05 13:39:50.390631,-92,Noise
2025-10-05 13:39:50.458631,-71,Front
2025-10-05 13:39:50.472631,-69,Front
2025-10-05 13:39:50.484631,-67,Front
2025-10-05 13:39:50.511631,-77,Front
2025-10-05 13:39:50.520631,-69,Front
2025-10-05 13:39:50.578631,-59,Middle
2025-10-05 13:39:50.599631,-58,Middle
2025-10-05 13:39:50.648631,-60,Middle
2025-10-05 13:39:50.810631,-56,Middle
2025-10-05 13:39:50.831631,-54,Middle
2025-10-05 13:39:50.876631,-57,Middle
2025-10-05 13:39:51.216631,-70,Front
2025-10-05 13:39:51.236631,-73,Front
2025-10-05 13:39:51.276631,-78,Front
2025-10-05 13:39:51.410631,-80,Front
2025-10-05 13:39:51.410631,-80,Front
2025-10-05 13:39:51.506631,-83,Front
2025-10-05 13:39:51.839631,-90,Noise
2025-10-05 13:39:51.864631,-91,Noise
2025-10-05 13:39:52.732631,-67,Front
2025-10-05 13:39:52.742631,-69,Front
2025-10-05 13:39:52.950631,-83,Front
2025-10-05 13:39:53.069631,-83,Front
2025-10-05 13:39:53.089631,-81,Front
2025-10-05 13:39:53.180631,-79,Front
2025-10-05 13:39:53.247631,-78,Front
2025-10-05 13:39:53.315631,-74,Front
2025-10-05 13:39:53.448631,-75,Front
2025-10-05 13:39:53.510631,-90,Noise
2025-10-05 13:39:53.765631,-61,Middle
2025-10-05 13:39:53.776631,-60,Middle
2025-10-05 13:39:53.848631,-79,Front
2025-10-05 13:39:54.760631,-65,Front
2025-10-05 13:39:54.965631,-94,Noise
2025-10-05 13:39:55.275631,-88,Noise
2025-10-05 13:39:55.503631,-82,Front
2025-10-05 13:39:55.528631,-82,Front
2025-10-05 13:39:55.750631,-84,Front
2025-10-05 13:39:55.819631,-71,Front
2025-10-05 13:39:55.857631,-66,Front
2025-10-05 13:39:55.881631,-69,Front
2025-10-05 13:39:55.902631,-65,Front
2025-10-05 13:39:56.426631,-83,Front
2025-10-05 13:39:56.508631,-73,Front
2025-10-05 13:39:56.515631,-72,Front
2025-10-05 13:39:56.863631,-82,Front
2025-10-05 13:39:56.864631,-81,Front
2025-10-05 13:39:56.926631,-83,Front
2025-10-05 13:39:56.927631,-83,Front
2025-10-05 13:39:57.697631,-84,Front
2025-10-05 13:39:57.978631,-88,Noise
2025-10-05 13:39:57.979631,-87,Noise
2025-10-05 13:39:57.984631,-88,Noise
2025-10-05 13:39:58.160631,-92,Noise
2025-10-05 13:39:58.396631,-65,Front
2025-10-05 13:39:58.407631,-65,Front
2025-10-05 13:39:58.596631,-74,Front
2025-10-05 13:40:00.013631,-76,Front
2025-10-05 13:40:00.033631,-74,Front
2025-10-05 13:40:00.057631,-73,Front
2025-10-05 13:40:00.078631,-73,Front
2025-10-05 13:40:00.351631,-71,Front
2025-10-05 13:40:00.395631,-75,Front
2025-10-05 13:40:00.418631,-77,Front
2025-10-05 13:40:00.433631,-89,Noise
2025-10-05 13:40:00.441631,-77,Front
2025-10-05 13:40:00.880631,-69,Front
2025-10-05 13:40:00.952631,-73,Front
2025-10-05 13:40:01.126631,-80,Front
2025-10-05 13:40:01.169631,-76,Front
2025-10-05 13:40:01.179631,-76,Front
2025-10-05 13:40:01.209631,-68,Front
2025-10-05 13:40:01.226631,-69,Front
2025-10-05 13:40:01.304631,-65,Front
2025-10-05 13:40:01.312631,-65,Front
2025-10-05 13:40:01.348631,-65,Front
2025-10-05 13:40:01.440631,-70,Front
2025-10-05 13:40:01.460631,-73,Front
2025-10-05 13:40:01.848631,-68,Front
2025-10-05 13:40:02.178631,-92,Noise
2025-10-05 13:40:02.298631,-80,Front
2025-10-05 13:40:02.316631,-79,Front
2025-10-05 13:40:02.317631,-80,Front
2025-10-05 13:40:02.319631,-81,Front
2025-10-05 13:40:02.328631,-82,Front
2025-10-05 13:40:02.391631,-72,Front
2025-10-05 13:40:02.403631,-85,Noise
2025-10-05 13:40:02.408631,-72,Front
2025-10-05 13:40:02.410631,-73,Front
2025-10-05 13:40:02.415631,-73,Front
2025-10-05 13:40:02.416631,-73,Front
2025-10-05 13:40:02.417631,-73,Front
2025-10-05 13:40:02.434631,-77,Front
2025-10-05 13:40:02.437631,-77,Front
2025-10-05 13:40:02.440631,-79,Front
2025-10-05 13:40:02.455631,-78,Front
2025-10-05 13:40:02.460631,-78,Front
2025-10-05 13:40:02.465631,-86,Noise
2025-10-05 13:40:02.737631,-70,Front
2025-10-05 13:40:02.742631,-62,Middle
2025-10-05 13:40:02.744631,-63,Middle
2025-10-05 13:40:02.746631,-62,Middle
2025-10-05 13:40:02.749631,-72,Front
2025-10-05 13:40:02.791631,-79,Front
2025-10-05 13:40:02.793631,-76,Front
2025-10-05 13:40:02.797631,-79,Front
2025-10-05 13:40:02.820631,-79,Front
2025-10-05 13:40:02.850631,-78,Front
2025-10-05 13:40:02.865631,-80,Front
2025-10-05 13:40:02.868631,-81,Front
2025-10-05 13:40:02.870631,-82,Front
2025-10-05 13:40:02.942631,-69,Front
2025-10-05 13:40:02.949631,-68,Front
2025-10-05 13:40:03.000631,-85,Noise
2025-10-05 13:40:03.021631,-67,Front
2025-10-05 13:40:03.175631,-74,Front
2025-10-05 13:40:03.212631,-74,Front
2025-10-05 13:40:03.370631,-81,Front
